aa;	竟
iz;	呵
ja;	务
jb;	後
jc;	蛛
jd;	星
je;	彼
jf;	征
jg;	早
jh;	昆
ji;	晓
jj;	州
jk;	照
jl;	彻
jm;	盟
jn;	忌
jo;	显
jp;	曳
jq;	徒
jr;	昌
js;	易
jt;	辛
ju;	御
jv;	典
jw;	景
jx;	暴
jy;	曙
jz;	映
ka;	休
kb;	侍
kc;	倒
kd;	伯
ke;	侯
kf;	师
kg;	值
kh;	似
ki;	召
kj;	旧
kk;	修
kl;	伤
km;	假
kn;	仰
ko;	依
kp;	佩
kq;	低
kr;	传
ks;	伊
kt;	偷
ku;	健
kv;	份
kw;	紧
kx;	借
ky;	伙
kz;	临
la;	选
lb;	盘
lc;	艇
ld;	舞
le;	躯
lf;	资
lg;	狂
lh;	此
li;	造
lj;	独
lk;	刊
ll;	射
lm;	舫
ln;	冶
lo;	狼
lp;	躲
lq;	般
lr;	净
ls;	舱
lt;	狗
lu;	航
lv;	准
lw;	艘
lx;	躺
ly;	狄
lz;	猜
ma;	予
mb;	肚
mc;	屋
md;	胜
me;	肥
mf;	糟
mg;	眉
mh;	尿
mi;	届
mj;	履
mk;	豚
ml;	施
mm;	朋
mn;	胎
mo;	粮
mp;	局
mq;	股
mr;	粗
ms;	胸
mt;	腿
mu;	刷
mv;	斯
mw;	豫
mx;	类
my;	膀
mz;	尸
na;	允
nb;	愧
nc;	怀
nd;	怕
ne;	矣
nf;	巧
ng;	恢
nh;	背
ni;	怠
nj;	忆
nk;	患
nl;	悔
nm;	壮
nn;	惨
no;	版
np;	巩
nq;	勇
nr;	愕
ns;	惯
nt;	恨
nu;	懒
nv;	惟
nw;	怪
nx;	参
ny;	惭
nz;	惘
oa;	历
ob;	魔
oc;	省
od;	愿
oe;	厨
of;	厉
og;	质
oh;	弛
oi;	袖
oj;	褐
ok;	初
ol;	弱
om;	肖
on;	弘
oo;	斥
op;	裕
oq;	磨
or;	弥
os;	袍
ot;	良
ou;	厅
ov;	弹
ow;	顾
ox;	尖
oy;	毯
oz;	凶
pa;	充
pb;	技
pc;	托
pd;	排
pe;	按
pf;	护
pg;	迅
ph;	批
pi;	损
pj;	担
pk;	撇
pl;	买
pm;	育
pn;	抑
po;	凡
pp;	扬
pq;	敢
pr;	挣
ps;	抱
pt;	热
pu;	抗
pv;	括
pw;	择
px;	掩
py;	拉
pz;	控
qa;	虏
qb;	彪
qc;	砭
qd;	飘
qe;	碗
qf;	残
qg;	矿
qh;	韦
qi;	础
qj;	昏
qk;	超
ql;	赶
qm;	胡
qn;	虑
qo;	赵
qp;	甩
qq;	趣
qr;	故
qs;	碌
qt;	硬
qu;	碎
qv;	碰
qw;	聚
qx;	趟
qy;	耿
qz;	碉
ra;	元
rb;	绫
rc;	缒
rd;	缴
re;	缩
rf;	考
rg;	缠
rh;	纠
ri;	织
rj;	终
rk;	绍
rl;	器
rm;	继
rn;	县
ro;	久
rp;	专
rq;	角
rr;	绝
rs;	急
rt;	缓
ru;	缄
rv;	纷
rw;	曲
rx;	绮
ry;	孝
rz;	绩
sa;	男
sb;	匆
sc;	君
sd;	姓
se;	耀
sf;	愚
sg;	齿
sh;	录
si;	恕
sj;	妹
sk;	介
sl;	田
sm;	媒
sn;	始
so;	妙
sp;	娜
sq;	姑
sr;	姥
ss;	界
st;	龄
su;	姊
sv;	舍
sw;	怒
sx;	姨
sy;	灵
sz;	途
ta;	彩
tb;	奚
tc;	爲
td;	赘
te;	院
tf;	陌
tg;	霸
th;	陛
ti;	拿
tj;	配
tk;	附
tl;	退
tm;	阴
tn;	令
to;	爪
tp;	念
tq;	震
tr;	阻
ts;	除
tt;	险
tu;	既
tv;	隧
tw;	醇
tx;	醋
ty;	陪
tz;	酥
ua;	困
ub;	玄
uc;	跃
ud;	帕
ue;	缺
uf;	威
ug;	跋
uh;	踏
ui;	圆
uj;	帽
uk;	顶
ul;	默
um;	蹂
un;	踊
uo;	踉
up;	盛
uq;	围
ur;	园
us;	耍
ut;	踩
uu;	颤
uv;	圈
uw;	巾
ux;	恩
uy;	亦
uz;	踌
va;	谙
vb;	诗
vc;	首
vd;	祭
ve;	谊
vf;	兮
vg;	读
vh;	谐
vi;	识
vj;	语
vk;	贫
vl;	适
vm;	谋
vn;	试
vo;	父
vp;	乱
vq;	兰
vr;	诸
vs;	单
vt;	遵
vu;	弟
vv;	谁
vw;	诺
vx;	送
vy;	八
vz;	调
wa;	劝
wb;	菱
wc;	孽
wd;	菲
we;	劳
wf;	欢
wg;	惹
wh;	范
wi;	戏
wj;	莫
wk;	刘
wl;	获
wm;	芳
wn;	蒋
wo;	京
wp;	亮
wq;	葬
wr;	著
ws;	苍
wt;	萨
wu;	藏
wv;	蔡
ww;	节
wx;	芒
wy;	享
wz;	莉
xa;	棠
xb;	奎
xc;	骄
xd;	赏
xe;	驱
xf;	疗
xg;	盲
xh;	驰
xi;	燕
xj;	疼
xk;	廿
xl;	夺
xm;	散
xn;	忘
xo;	态
xp;	掌
xq;	骤
xr;	奢
xs;	奋
xt;	痕
xu;	夕
xv;	恭
xw;	瘦
xx;	骑
xy;	骇
xz;	痢
ya;	亲
yb;	罢
yc;	轿
yd;	罪
ye;	旁
yf;	软
yg;	辅
yh;	徽
yi;	竞
yj;	竭
yk;	烦
yl;	炼
ym;	煤
yn;	轼
yo;	孙
yp;	孔
yq;	孤
yr;	署
ys;	蜀
yt;	输
yu;	灯
yv;	雅
yw;	轰
yx;	逻
yy;	炎
yz;	靖
za;	免
zb;	周
zc;	窗
zd;	责
ze;	窄
zf;	篇
zg;	稽
zh;	丰
zi;	程
zj;	香
zk;	符
zl;	寿
zm;	静
zn;	秘
zo;	刚
zp;	秃
zq;	砉
zr;	稳
zs;	委
zt;	帮
zu;	丹
zv;	透
zw;	篙
zx;	央
zy;	秋
zz;	歌
