character	token	ferquency(per million)	total coverage rate(%)
而	5075337	2673.59027 	38.83188 
只	5050153	2660.32383 	39.09791 
生	4966773	2616.40084 	39.35955 
什	4828364	2543.48963 	39.61390 
身	4819905	2539.03359 	39.86780 
头	4813712	2535.77124 	40.12138 
样	4769842	2512.66136 	40.37265 
事	4729336	2491.32358 	40.62178 
多	4617194	2432.24932 	40.86500 
己	4569251	2406.99387 	41.10570 
家	4546765	2395.14867 	41.34522 
面	4532962	2387.87752 	41.58401 
知	4397165	2316.34226 	41.81564 
开	4346834	2289.82885 	42.04462 
如	4308194	2269.47404 	42.27157 
无	4177289	2200.51580 	42.49162 
现	4161139	2192.00829 	42.71082 
很	3994436	2104.19234 	42.92124 
点	3978856	2095.98509 	43.13084 
前	3967855	2090.18998 	43.33986 
发	3946829	2079.11388 	43.54777 
经	3923454	2066.80038 	43.75445 
情	3879008	2043.38708 	43.95879 
把	3798288	2000.86533 	44.15888 
老	3762961	1982.25575 	44.35710 
些	3752167	1976.56967 	44.55476 
话	3744917	1972.75051 	44.75203 
已	3720796	1960.04403 	44.94804 
又	3710252	1954.48965 	45.14349 
声	3671271	1933.95521 	45.33688 
意	3668831	1932.66987 	45.53015 
于	3614992	1904.30851 	45.72058 
回	3608341	1900.80489 	45.91066 
笑	3577465	1884.54001 	46.09911 
所	3534172	1861.73408 	46.28529 
但	3505257	1846.50222 	46.46994 
眼	3495315	1841.26496 	46.65406 
成	3478315	1832.30969 	46.83730 
方	3471764	1828.85875 	47.02018 
年	3465446	1825.53054 	47.20273 
见	3460998	1823.18742 	47.38505 
当	3437226	1810.66479 	47.56612 
女	3362646	1771.37747 	47.74326 
真	3314815	1746.18102 	47.91788 
两	3302466	1739.67580 	48.09184 
力	3298612	1737.64559 	48.26561 
气	3227369	1700.11614 	48.43562 
从	3173776	1671.88438 	48.60281 
用	3170468	1670.14179 	48.76982 
长	3100060	1633.05220 	48.93313 
动	3073269	1618.93922 	49.09502 
间	3067939	1616.13147 	49.25663 
国	3063867	1613.98642 	49.41803 
走	3020224	1590.99613 	49.57713 
让	2999423	1580.03856 	49.73514 
被	2998064	1579.32266 	49.89307 
给	2939384	1548.41116 	50.04791 
正	2933903	1545.52388 	50.20246 
问	2899681	1527.49638 	50.35521 
打	2882337	1518.35990 	50.50705 
明	2864492	1508.95949 	50.65794 
儿	2850098	1501.37701 	50.80808 
法	2798486	1474.18880 	50.95550 
才	2774963	1461.79733 	51.10168 
几	2760667	1454.26647 	51.24711 
行	2756706	1452.17989 	51.39232 
三	2747794	1447.48522 	51.53707 
定	2738825	1442.76053 	51.68135 
此	2725965	1435.98612 	51.82495 
进	2706350	1425.65332 	51.96751 
再	2681503	1412.56440 	52.10877 
种	2653924	1398.03631 	52.24857 
将	2629219	1385.02219 	52.38708 
实	2616492	1378.31785 	52.52491 
同	2614683	1377.36490 	52.66264 
最	2582957	1360.65225 	52.79871 
本	2579524	1358.84381 	52.93459 
向	2570964	1354.33457 	53.07003 
分	2568782	1353.18513 	53.20535 
十	2567177	1352.33965 	53.34058 
学	2566533	1352.00040 	53.47578 
高	2565932	1351.68381 	53.61095 
第	2558818	1347.93629 	53.74574 
感	2529138	1332.30143 	53.87897 
怎	2520317	1327.65470 	54.01174 
神	2509843	1322.13720 	54.14395 
听	2449553	1290.37758 	54.27299 
边	2448615	1289.88346 	54.40198 
作	2437693	1284.12996 	54.53039 
其	2417047	1273.25404 	54.65772 
吧	2403165	1265.94127 	54.78431 
却	2377929	1252.64743 	54.90957 
口	2375024	1251.11713 	55.03469 
觉	2372600	1249.84021 	55.15967 
啊	2366043	1246.38611 	55.28431 
因	2334623	1229.83466 	55.40729 
白	2322211	1223.29625 	55.52962 
次	2307457	1215.52413 	55.65117 
军	2275004	1198.42851 	55.77102 
做	2254997	1187.88921 	55.88981 
外	2234449	1177.06491 	56.00751 
门	2233462	1176.54498 	56.12517 
光	2185701	1151.38540 	56.24031 
风	2175031	1145.76465 	56.35488 
主	2156315	1135.90542 	56.46847 
住	2114870	1114.07299 	56.57988 
果	2105431	1109.10070 	56.69079 
与	2104552	1108.63766 	56.80165 
全	2085206	1098.44656 	56.91150 
二	2073729	1092.40070 	57.02074 
候	2064968	1087.78557 	57.12952 
公	2055138	1082.60732 	57.23778 
相	2037658	1073.39919 	57.34512 
吗	2028487	1068.56808 	57.45197 
等	2002114	1054.67529 	57.55744 
别	2000757	1053.96045 	57.66284 
色	1988512	1047.51002 	57.76759 
死	1979349	1042.68312 	57.87186 
张	1977218	1041.56055 	57.97601 
部	1972176	1038.90452 	58.07990 
太	1962845	1033.98913 	58.18330 
日	1944999	1024.58820 	58.28576 
少	1940099	1022.00698 	58.38796 
战	1924225	1013.64486 	58.48933 
理	1903915	1002.94594 	58.58962 
直	1902380	1002.13733 	58.68983 
重	1900814	1001.31239 	58.78997 
王	1891711	996.51710 	58.88962 
像	1883479	992.18064 	58.98884 
脸	1845354	972.09712 	59.08605 
比	1844194	971.48606 	59.18319 
快	1840001	969.27727 	59.28012 
何	1822108	959.85158 	59.37611 
水	1817943	957.65754 	59.47187 
名	1804559	950.60710 	59.56693 
体	1799811	948.10595 	59.66174 
呢	1793494	944.77827 	59.75622 
东	1783570	939.55050 	59.85018 
叫	1780163	937.75576 	59.94395 
西	1778761	937.01721 	60.03765 
应	1777404	936.30237 	60.13128 
便	1735257	914.10014 	60.22269 
放	1730745	911.72330 	60.31387 
马	1729443	911.03743 	60.40497 
难	1727440	909.98229 	60.49597 
轻	1720467	906.30905 	60.58660 
更	1703552	897.39855 	60.67634 
美	1692264	891.45225 	60.76548 
位	1682896	886.51736 	60.85414 
关	1675433	882.58600 	60.94240 
机	1672100	880.83024 	61.03048 
接	1671342	880.43094 	61.11852 
先	1662684	875.87007 	61.20611 
文	1637873	862.80011 	61.29239 
处	1626691	856.90965 	61.37808 
并	1624589	855.80235 	61.46366 
望	1623939	855.45995 	61.54921 
常	1623697	855.33246 	61.63474 
完	1623350	855.14967 	61.72025 
四	1598102	841.84951 	61.80444 
飞	1593771	839.56802 	61.88840 
师	1581750	833.23559 	61.97172 
者	1581047	832.86526 	62.05501 
安	1580103	832.36798 	62.13824 
清	1568814	826.42115 	62.22088 
刚	1561764	822.70735 	62.30316 
跟	1547565	815.22759 	62.38468 
月	1546594	814.71608 	62.46615 
信	1529741	805.83824 	62.54673 
山	1526952	804.36905 	62.62717 
爱	1516399	798.80993 	62.70705 
内	1509530	795.19148 	62.78657 
龙	1509393	795.11931 	62.86608 
空	1496062	788.09679 	62.94489 
带	1491966	785.93910 	63.02349 
找	1476145	777.60490 	63.10125 
原	1473346	776.13044 	63.17886 
入	1472056	775.45089 	63.25640 
李	1462547	770.44173 	63.33345 
连	1453048	765.43784 	63.40999 
吃	1445563	761.49489 	63.48614 
场	1443226	760.26380 	63.56217 
平	1439957	758.54175 	63.63802 
思	1438567	757.80953 	63.71380 
林	1435296	756.08643 	63.78941 
变	1428820	752.67500 	63.86468 
使	1415240	745.52131 	63.93923 
由	1400586	737.80187 	64.01301 
受	1388441	731.40411 	64.08615 
亲	1388321	731.34090 	64.15929 
命	1368062	720.66885 	64.23135 
目	1365310	719.21914 	64.30328 
强	1361353	717.13467 	64.37499 
男	1354324	713.43193 	64.44633 
任	1353727	713.11744 	64.51764 
该	1351318	711.84843 	64.58883 
路	1338441	705.06507 	64.65933 
车	1338066	704.86753 	64.72982 
今	1337566	704.60414 	64.80028 
海	1335124	703.31774 	64.87061 
加	1329722	700.47207 	64.94066 
远	1319096	694.87450 	65.01015 
活	1317244	693.89890 	65.07954 
特	1314148	692.26798 	65.14877 
解	1312068	691.17228 	65.21788 
电	1308303	689.18895 	65.28680 
世	1305454	687.68815 	65.35557 
性	1304637	687.25777 	65.42430 
表	1303318	686.56295 	65.49295 
许	1299512	684.55802 	65.56141 
它	1298568	684.06074 	65.62981 
立	1293824	681.56169 	65.69797 
黑	1292192	680.70198 	65.76604 
金	1291889	680.54237 	65.83409 
红	1282649	675.67491 	65.90166 
花	1277183	672.79553 	65.96894 
转	1276312	672.33670 	66.03618 
总	1273655	670.93705 	66.10327 
算	1263186	665.42218 	66.16981 
城	1258895	663.16176 	66.23613 
队	1255383	661.31171 	66.30226 
孩	1251885	659.46903 	66.36821 
反	1250683	658.83584 	66.43409 
工	1242237	654.38665 	66.49953 
始	1239671	653.03493 	66.56483 
满	1238021	652.16574 	66.63005 
新	1232035	649.01243 	66.69495 
兵	1226804	646.25684 	66.75957 
物	1225245	645.43559 	66.82412 
离	1222359	643.91530 	66.88851 
非	1219442	642.37868 	66.95275 
虽	1211358	638.12018 	67.01656 
云	1205872	635.23026 	67.08008 
似	1203009	633.72209 	67.14346 
万	1201402	632.87555 	67.20674 
至	1199059	631.64130 	67.26991 
干	1197831	630.99442 	67.33301 
通	1186869	625.21985 	67.39553 
认	1184729	624.09253 	67.45794 
失	1182384	622.85723 	67.52022 
火	1180390	621.80683 	67.58240 
哥	1176477	619.74554 	67.64438 
士	1175727	619.35045 	67.70631 
五	1170398	616.54324 	67.76797 
惊	1161953	612.09457 	67.82918 
魔	1160330	611.23961 	67.89030 
竟	1160070	611.10265 	67.95141 
姐	1158924	610.49895 	68.01246 
乎	1157322	609.65505 	68.07343 
剑	1151704	606.69560 	68.13410 
往	1143435	602.33965 	68.19433 
量	1142437	601.81392 	68.25451 
早	1138903	599.95228 	68.31451 
结	1132776	596.72469 	68.37418 
怕	1114820	587.26581 	68.43291 
流	1114438	587.06458 	68.49161 
突	1106693	582.98466 	68.54991 
坐	1106273	582.76342 	68.60819 
斯	1105720	582.47211 	68.66643 
音	1100301	579.61748 	68.72440 
紧	1099517	579.20449 	68.78232 
指	1099010	578.93741 	68.84021 
拉	1096796	577.77112 	68.89799 
杀	1095880	577.28858 	68.95572 
半	1095098	576.87664 	69.01340 
记	1094800	576.71966 	69.07108 
且	1092816	575.67453 	69.12864 
利	1091519	574.99129 	69.18614 
合	1085786	571.97126 	69.24334 
倒	1085421	571.77898 	69.30052 
书	1083351	570.68855 	69.35759 
度	1082785	570.39039 	69.41463 
微	1082510	570.24552 	69.47165 
步	1077549	567.63216 	69.52841 
教	1071585	564.49044 	69.58486 
喜	1069981	563.64549 	69.64123 
越	1069176	563.22143 	69.69755 
影	1067165	562.16207 	69.75377 
谁	1064240	560.62124 	69.80983 
冷	1063226	560.08708 	69.86584 
深	1060800	558.80911 	69.92172 
告	1054831	555.66476 	69.97728 
落	1054311	555.39083 	70.03282 
象	1041105	548.43416 	70.08767 
容	1038318	546.96603 	70.14236 
怪	1036985	546.26383 	70.19699 
传	1034638	545.02747 	70.25149 
钱	1034329	544.86470 	70.30598 
提	1026285	540.62727 	70.36004 
言	1026005	540.47977 	70.41409 
随	1016322	535.37895 	70.46763 
每	1015025	534.69572 	70.52110 
双	1011629	532.90677 	70.57439 
服	1011511	532.84461 	70.62767 
击	1010628	532.37946 	70.68091 
武	1003136	528.43282 	70.73375 
哪	998544	526.01384 	70.78635 
数	994719	523.99891 	70.83875 
站	994038	523.64017 	70.89112 
奇	982596	517.61274 	70.94288 
房	980289	516.39746 	70.99452 
管	979206	515.82696 	71.04610 
灵	978814	515.62046 	71.09766 
刻	977816	515.09473 	71.14917 
题	976178	514.23186 	71.20060 
衣	974727	513.46751 	71.25194 
周	972776	512.43976 	71.30319 
静	968467	510.16986 	71.35420 
伤	968363	510.11507 	71.40522 
百	962451	507.00074 	71.45592 
拿	958908	505.13436 	71.50643 
妈	956493	503.86218 	71.55682 
办	956075	503.64199 	71.60718 
星	955656	503.42127 	71.65752 
化	951401	501.17982 	71.70764 
功	945623	498.13608 	71.75745 
绝	943340	496.93343 	71.80715 
系	942245	496.35661 	71.85678 
般	940949	495.67390 	71.90635 
必	940785	495.58751 	71.95591 
业	938051	494.14729 	72.00532 
尔	936690	493.43034 	72.05467 
件	935235	492.66388 	72.10393 
血	933230	491.60768 	72.15309 
代	932729	491.34376 	72.20223 
精	932565	491.25737 	72.25135 
弟	931804	490.85649 	72.30044 
终	928837	489.29353 	72.34937 
近	925463	487.51617 	72.39812 
条	925439	487.50353 	72.44687 
青	914968	481.98761 	72.49507 
界	913395	481.15898 	72.54319 
司	911784	480.31034 	72.59122 
整	911668	480.24923 	72.63924 
欢	908850	478.76476 	72.68712 
字	906615	477.58741 	72.73488 
晚	904532	476.49012 	72.78253 
民	902697	475.52348 	72.83008 
帮	901633	474.96299 	72.87757 
切	900592	474.41461 	72.92502 
即	900101	474.15596 	72.97243 
忙	899024	473.58862 	73.01979 
交	898418	473.26939 	73.06712 
或	896787	472.41021 	73.11436 
暗	891081	469.40440 	73.16130 
夫	890506	469.10150 	73.20821 
员	887168	467.34310 	73.25494 
根	886057	466.75785 	73.30162 
石	885579	466.50605 	73.34827 
哈	879528	463.31850 	73.39460 
夜	877661	462.33500 	73.44083 
父	875667	461.28460 	73.48696 
制	870792	458.71654 	73.53283 
友	869919	458.25666 	73.57866 
阿	867275	456.86385 	73.62435 
息	864425	455.36253 	73.66988 
冲	862983	454.60291 	73.71534 
酒	862253	454.21836 	73.76076 
保	859752	452.90088 	73.80606 
片	859001	452.50527 	73.85131 
形	858843	452.42203 	73.89655 
阵	857774	451.85891 	73.94173 
南	856521	451.19885 	73.98685 
决	856467	451.17040 	74.03197 
请	856375	451.12194 	74.07708 
各	856128	450.99182 	74.12218 
报	856017	450.93335 	74.16728 
兴	854813	450.29911 	74.21231 
阳	850226	447.88276 	74.25709 
急	849907	447.71472 	74.30186 
语	843913	444.55720 	74.34632 
令	842791	443.96615 	74.39072 
错	839927	442.45745 	74.43496 
及	839825	442.40372 	74.47920 
刘	835052	439.88939 	74.52319 
极	832554	438.57349 	74.56705 
识	826907	435.59876 	74.61061 
备	823555	433.83299 	74.65399 
慢	820995	432.48443 	74.69724 
雪	820388	432.16468 	74.74046 
苦	810172	426.78308 	74.78314 
若	809209	426.27579 	74.82576 
领	808920	426.12355 	74.86838 
收	807363	425.30336 	74.91091 
底	806359	424.77447 	74.95338 
尽	805564	424.35568 	74.99582 
准	805527	424.33619 	75.03825 
华	800451	421.66225 	75.08042 
答	796906	419.79481 	75.12240 
众	796661	419.66575 	75.16437 
千	794964	418.77180 	75.20624 
消	792838	417.65187 	75.24801 
视	787375	414.77406 	75.28949 
罗	783224	412.58739 	75.33074 
敢	782369	412.13700 	75.37196 
留	778671	410.18896 	75.41298 
克	777926	409.79651 	75.45396 
乐	777260	409.44567 	75.49490 
够	768470	404.81527 	75.53538 
跑	767297	404.19736 	75.57580 
显	763327	402.10604 	75.61601 
嘴	762052	401.43439 	75.65616 
官	760400	400.56415 	75.69621 
断	759788	400.24176 	75.73624 
未	758953	399.80190 	75.77622 
势	756507	398.51339 	75.81607 
句	754300	397.35079 	75.85580 
求	749849	395.00608 	75.89530 
计	747431	393.73233 	75.93468 
论	744148	392.00291 	75.97388 
达	741782	390.75654 	76.01295 
则	740891	390.28718 	76.05198 
害	740250	389.94951 	76.09098 
八	740031	389.83415 	76.12996 
单	738919	389.24837 	76.16888 
久	737479	388.48980 	76.20773 
脚	735170	387.27347 	76.24646 
德	733775	386.53861 	76.28511 
元	732265	385.74317 	76.32369 
脑	728559	383.79092 	76.36207 
楚	728204	383.60391 	76.40043 
雨	725801	382.33806 	76.43866 
睛	724850	381.83709 	76.47685 
响	724098	381.44095 	76.51499 
刀	723425	381.08643 	76.55310 
确	722242	380.46325 	76.59115 
玉	721753	380.20565 	76.62917 
沉	718489	378.48624 	76.66701 
北	718033	378.24602 	76.70484 
格	715810	377.07499 	76.74255 
停	715545	376.93539 	76.78024 
陈	714404	376.33434 	76.81787 
市	712352	375.25338 	76.85540 
朝	709793	373.90535 	76.89279 
喝	707608	372.75433 	76.93006 
族	707445	372.66847 	76.96733 
江	705253	371.51377 	77.00448 
团	701923	369.75959 	77.04146 
母	701521	369.54782 	77.07841 
章	697369	367.36063 	77.11515 
装	695241	366.23964 	77.15177 
亮	693524	365.33515 	77.18831 
客	692916	365.01487 	77.22481 
照	692673	364.88686 	77.26130 
乱	692152	364.61241 	77.29776 
易	690500	363.74217 	77.33413 
足	680607	358.53073 	77.36999 
依	679811	358.11141 	77.40580 
黄	678776	357.56619 	77.44155 
修	678749	357.55197 	77.47731 
破	677496	356.89191 	77.51300 
台	676961	356.61008 	77.54866 
球	673782	354.93545 	77.58415 
呀	673765	354.92649 	77.61965 
院	672894	354.46766 	77.65509 
送	668592	352.20145 	77.69031 
包	667583	351.66993 	77.72548 
义	667264	351.50189 	77.76063 
诉	667093	351.41181 	77.79577 
攻	665395	350.51734 	77.83082 
丝	661300	348.36017 	77.86566 
围	659219	347.26394 	77.90038 
玩	658958	347.12645 	77.93510 
待	658854	347.07166 	77.96980 
复	656644	345.90748 	78.00440 
况	655809	345.46761 	78.03894 
楼	654626	344.84443 	78.07343 
丽	653445	344.22230 	78.10785 
痛	653298	344.14487 	78.14226 
梦	650909	342.88639 	78.17655 
呼	649070	341.91764 	78.21074 
摇	647544	341.11377 	78.24486 
期	647443	341.06057 	78.27896 
英	646331	340.47479 	78.31301 
低	646263	340.43896 	78.34705 
帝	643284	338.86968 	78.38094 
兄	642800	338.61472 	78.41480 
背	642470	338.44088 	78.44865 
持	641315	337.83245 	78.48243 
爷	641029	337.68179 	78.51620 
皇	640305	337.30040 	78.54993 
七	638221	336.20259 	78.58355 
六	635084	334.55008 	78.61700 
穿	634742	334.36992 	78.65044 
杨	633480	333.70512 	78.68381 
政	633183	333.54867 	78.71716 
运	630729	332.25595 	78.75039 
居	627014	330.29896 	78.78342 
叶	625969	329.74847 	78.81639 
热	625680	329.59623 	78.84935 
校	623489	328.44206 	78.88220 
谢	623220	328.30035 	78.91503 
曾	621971	327.64240 	78.94779 
古	621960	327.63661 	78.98056 
细	618534	325.83186 	79.01314 
产	617667	325.37514 	79.04568 
睡	616243	324.62500 	79.07814 
希	614576	323.74686 	79.11051 
速	614540	323.72790 	79.14289 
室	614287	323.59462 	79.17525 
旁	610425	321.56019 	79.20740 
另	608814	320.71155 	79.23947 
怀	607039	319.77651 	79.27145 
露	606979	319.74491 	79.30343 
异	605892	319.17229 	79.33534 
写	605147	318.77984 	79.36722 
鬼	604413	318.39319 	79.39906 
娘	603856	318.09977 	79.43087 
取	602170	317.21162 	79.46259 
式	600521	316.34296 	79.49423 
除	599918	316.02531 	79.52583 
级	599204	315.64918 	79.55739 
考	599063	315.57491 	79.58895 
建	598616	315.33944 	79.62048 
愿	597660	314.83584 	79.65197 
招	593719	312.75979 	79.68324 
饭	592046	311.87849 	79.71443 
布	591571	311.62827 	79.74559 
续	591245	311.45654 	79.77674 
程	590619	311.12677 	79.80785 
首	588887	310.21439 	79.83887 
观	588781	310.15855 	79.86989 
朋	588716	310.12431 	79.90090 
务	587619	309.54643 	79.93186 
掉	586059	308.72465 	79.96273 
赶	585731	308.55187 	79.99359 
忽	585369	308.36117 	80.02442 
注	583182	307.20910 	80.05514 
术	579874	305.46651 	80.08569 
甚	576087	303.47159 	80.11604 
差	573616	302.16992 	80.14625 
呵	570893	300.73549 	80.17633 
展	570379	300.46473 	80.20637 
争	569448	299.97429 	80.23637 
品	566800	298.57938 	80.26623 
兰	565307	297.79289 	80.29601 
宝	564720	297.48367 	80.32576 
香	563262	296.71563 	80.35543 
斗	562155	296.13248 	80.38504 
故	560446	295.23221 	80.41456 
雷	560379	295.19692 	80.44408 
念	559620	294.79709 	80.47356 
段	559051	294.49735 	80.50301 
顿	557768	293.82149 	80.53240 
角	557634	293.75091 	80.56177 
疑	556639	293.22676 	80.59109 
护	551817	290.68662 	80.62016 
闪	551016	290.26467 	80.64919 
木	547209	288.25922 	80.67801 
需	543409	286.25745 	80.70664 
调	542792	285.93242 	80.73523 
类	542775	285.92347 	80.76383 
妹	542424	285.73857 	80.79240 
爸	541485	285.24392 	80.82092 
线	539444	284.16876 	80.84934 
左	538289	283.56033 	80.87770 
游	537555	283.17367 	80.90601 
派	537090	282.92872 	80.93431 
谈	536829	282.79123 	80.96259 
激	535171	281.91783 	80.99078 
冰	534562	281.59702 	81.01894 
敌	534220	281.41686 	81.04708 
跳	532527	280.52502 	81.07513 
支	532396	280.45601 	81.10318 
约	526224	277.20472 	81.13090 
巴	523594	275.81929 	81.15848 
您	523541	275.79137 	81.18606 
顾	523266	275.64650 	81.21362 
肯	522835	275.41946 	81.24117 
醒	522582	275.28618 	81.26869 
铁	520031	273.94237 	81.29609 
抱	519992	273.92182 	81.32348 
淡	518865	273.32814 	81.35081 
造	518334	273.04842 	81.37812 
伙	518273	273.01628 	81.40542 
资	517472	272.59433 	81.43268 
群	516077	271.85947 	81.45987 
集	515762	271.69354 	81.48703 
联	514908	271.24367 	81.51416 
商	514550	271.05508 	81.54126 
号	513737	270.62681 	81.56833 
节	511250	269.31670 	81.59526 
讲	510842	269.10178 	81.62217 
掌	510260	268.79519 	81.64905 
赵	507405	267.29123 	81.67578 
密	506110	266.60905 	81.70244 
九	506014	266.55848 	81.72909 
病	505956	266.52793 	81.75575 
卫	504141	265.57182 	81.78230 
米	503964	265.47858 	81.80885 
威	503918	265.45435 	81.83540 
继	503302	265.12985 	81.86191 
渐	503123	265.03556 	81.88841 
统	503061	265.00289 	81.91491 
追	502402	264.65575 	81.94138 
亚	502177	264.53722 	81.96783 
简	501969	264.42765 	81.99428 
练	501341	264.09683 	82.02069 
基	499224	262.98164 	82.04698 
选	498189	262.43642 	82.07323 
推	497295	261.96548 	82.09942 
改	495567	261.05520 	82.12553 
退	494368	260.42359 	82.15157 
味	493741	260.09330 	82.17758 
份	493685	260.06380 	82.20359 
举	493503	259.96792 	82.22958 
示	492951	259.67714 	82.25555 
忍	492901	259.65080 	82.28152 
历	492045	259.19988 	82.30744 
器	489638	257.93192 	82.33323 
恐	489578	257.90031 	82.35902 
引	489419	257.81655 	82.38480 
试	489076	257.63586 	82.41057 
皮	487744	256.93419 	82.43626 
习	487160	256.62655 	82.46192 
靠	486494	256.27572 	82.48755 
导	486193	256.11716 	82.51316 
存	485467	255.73471 	82.53874 
莫	485268	255.62988 	82.56430 
志	485065	255.52295 	82.58985 
区	485061	255.52084 	82.61540 
汉	484364	255.15367 	82.64092 
右	483406	254.64902 	82.66638 
严	480979	253.37052 	82.69172 
态	478661	252.14944 	82.71693 
买	477539	251.55839 	82.74209 
幸	477019	251.28447 	82.76722 
社	476704	251.11853 	82.79233 
佛	475734	250.60755 	82.81739 
议	474942	250.19034 	82.84241 
树	474612	250.01651 	82.86741 
止	472691	249.00456 	82.89231 
块	472478	248.89236 	82.91720 
守	470593	247.89937 	82.94199 
毛	469562	247.35626 	82.96673 
挥	468277	246.67935 	82.99140 
胡	468131	246.60244 	83.01606 
散	468009	246.53817 	83.04071 
板	466756	245.87812 	83.06530 
仅	466676	245.83597 	83.08988 
隐	466049	245.50568 	83.11443 
怒	466019	245.48988 	83.13898 
床	465801	245.37504 	83.16352 
苏	465272	245.09637 	83.18803 
料	463518	244.17240 	83.21244 
股	461541	243.13095 	83.23676 
局	461034	242.86388 	83.26104 
班	459772	242.19908 	83.28526 
图	457307	240.90056 	83.30935 
岁	456625	240.54130 	83.33341 
礼	456545	240.49916 	83.35746 
独	456526	240.48915 	83.38151 
初	455646	240.02558 	83.40551 
福	455530	239.96447 	83.42951 
顺	454929	239.64788 	83.45347 
狂	454886	239.62523 	83.47743 
默	454458	239.39977 	83.50137 
巨	453729	239.01574 	83.52528 
既	453256	238.76658 	83.54915 
松	452901	238.57957 	83.57301 
证	452885	238.57114 	83.59687 
烈	452123	238.16973 	83.62068 
否	450892	237.52127 	83.64444 
恶	450813	237.47965 	83.66818 
治	450800	237.47280 	83.69193 
缓	450418	237.27157 	83.71566 
排	449584	236.83224 	83.73934 
费	449492	236.78377 	83.76302 
拍	449481	236.77798 	83.78670 
耳	448849	236.44505 	83.81034 
医	448630	236.32969 	83.83398 
寒	448294	236.15269 	83.85759 
哭	447753	235.86770 	83.88118 
温	447521	235.74549 	83.90475 
府	442709	233.21062 	83.92807 
担	442662	233.18586 	83.95139 
称	442107	232.89350 	83.97468 
余	441792	232.72756 	83.99795 
钟	439739	231.64608 	84.02112 
泪	439483	231.51122 	84.04427 
烟	435202	229.25607 	84.06719 
仍	434011	228.62868 	84.09006 
具	433976	228.61024 	84.11292 
忘	433906	228.57337 	84.13578 
恩	433653	228.44009 	84.15862 
毕	433506	228.36265 	84.18146 
警	433397	228.30523 	84.20429 
蓝	431855	227.49294 	84.22704 
宫	431590	227.35334 	84.24977 
吸	431549	227.33174 	84.27250 
陆	431372	227.23850 	84.29523 
究	429844	226.43358 	84.31787 
抓	428755	225.85992 	84.34046 
压	427672	225.28941 	84.36299 
沙	427658	225.28204 	84.38552 
救	427315	225.10135 	84.40803 
呆	427048	224.96070 	84.43052 
河	425953	224.38388 	84.45296 
迷	424854	223.80495 	84.47534 
枪	424121	223.41882 	84.49768 
组	423884	223.29397 	84.52001 
权	422461	222.54436 	84.54227 
叹	421997	222.29993 	84.56450 
孙	421364	221.96648 	84.58669 
卷	419864	221.17631 	84.60881 
查	417554	219.95945 	84.63081 
毫	414933	218.57875 	84.65266 
春	414544	218.37384 	84.67450 
察	413974	218.07357 	84.69631 
圣	413460	217.80280 	84.71809 
草	411706	216.87883 	84.73978 
较	411372	216.70289 	84.76145 
胜	411127	216.57383 	84.78310 
遇	409411	215.66987 	84.80467 
充	409223	215.57083 	84.82623 
史	409099	215.50551 	84.84778 
堂	408194	215.02878 	84.86928 
